dataset	split	target	gears_condition	in_gears_train	in_gears_test	in_state_train	in_state_test	alignment_status	reason_if_not_aligned
norman_l1	L1_seed1	CEBPE+CEBPA	CEBPE+CEBPA	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPE+CEBPB	CEBPE+CEBPB	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPE+CNN1	CEBPE+CNN1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPE+KLF1	CEBPE+KLF1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPE+PTPN12	CEBPE+PTPN12	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPE+RUNX1T1	CEBPE+RUNX1T1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPE+SPI1	CEBPE+SPI1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CEBPE	CEBPE+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CELF2	CELF2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CITED1	CITED1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CKS1B	CKS1B+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CLDN6	CLDN6+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CNN1+MAPK1	CNN1+MAPK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CNN1+UBASH3A	CNN1+UBASH3A	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CNN1	CNN1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	COL1A1	COL1A1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	COL2A1	COL2A1+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CSRNP1	CSRNP1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	DLX2	DLX2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	DUSP9+ETS2	DUSP9+ETS2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	DUSP9+IGDCC3	DUSP9+IGDCC3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	DUSP9+KLF1	DUSP9+KLF1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	DUSP9+MAPK1	DUSP9+MAPK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	DUSP9+PRTG	DUSP9+PRTG	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	DUSP9+SNAI1	DUSP9+SNAI1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	DUSP9	DUSP9+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	EGR1	EGR1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ETS2+CEBPE	ETS2+CEBPE	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ETS2+CNN1	ETS2+CNN1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ETS2+IGDCC3	ETS2+IGDCC3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ETS2+IKZF3	ETS2+IKZF3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ETS2+MAP7D1	ETS2+MAP7D1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ETS2+MAPK1	ETS2+MAPK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ETS2+PRTG	ETS2+PRTG	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FEV+CBFA2T3	FEV+CBFA2T3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FEV+ISL2	FEV+ISL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FEV+MAP7D1	FEV+MAP7D1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FEV	FEV+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOSB+CEBPB	FOSB+CEBPB	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	FOSB+CEBPE	FOSB+CEBPE	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOSB+OSR2	FOSB+OSR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOSB+PTPN12	FOSB+PTPN12	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOSB+UBASH3B	FOSB+UBASH3B	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOSB	FOSB+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	FOXA1+FOXF1	FOXA1+FOXF1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXA1+FOXL2	FOXA1+FOXL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXA1+HOXB9	FOXA1+HOXB9	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	FOXA1	FOXA1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXA3+FOXA1	FOXA3+FOXA1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXA3+FOXF1	FOXA3+FOXF1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXA3+FOXL2	FOXA3+FOXL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXA3+HOXB9	FOXA3+HOXB9	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXA3	FOXA3+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXF1+FOXL2	FOXF1+FOXL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXF1+HOXB9	FOXF1+HOXB9	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXL2+HOXB9	FOXL2+HOXB9	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXL2+MEIS1	FOXL2+MEIS1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXL2	FOXL2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	FOXO4	FOXO4+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	GLB1L2	GLB1L2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	HES7	HES7+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	HK2	HK2+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	HNF4A	HNF4A+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	HOXA13	HOXA13+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	HOXB9	HOXB9+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	HOXC13	HOXC13+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	IGDCC3+PRTG	IGDCC3+PRTG	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	IGDCC3+ZBTB25	IGDCC3+ZBTB25	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	IKZF3	IKZF3+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	IRF1+SET	IRF1+SET	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	IRF1	IRF1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ISL2	ISL2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	JUN+CEBPA	JUN+CEBPA	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	JUN	JUN+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KIF18B+KIF2C	KIF18B+KIF2C	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KIF2C	KIF2C+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	KLF1+BAK1	KLF1+BAK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KLF1+CEBPA	KLF1+CEBPA	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	KLF1+CLDN6	KLF1+CLDN6	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KLF1+COL2A1	KLF1+COL2A1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KLF1+FOXA1	KLF1+FOXA1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KLF1+MAP2K6	KLF1+MAP2K6	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	KLF1+TGFBR2	KLF1+TGFBR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KLF1	KLF1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	KMT2A	KMT2A+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	LHX1	LHX1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	LYL1+CEBPB	LYL1+CEBPB	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	LYL1	LYL1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAML2	MAML2+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	MAP2K3+ELMSAN1	MAP2K3+ELMSAN1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	MAP2K3+IKZF3	MAP2K3+IKZF3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP2K3+MAP2K6	MAP2K3+MAP2K6	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP2K3+SLC38A2	MAP2K3+SLC38A2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP2K3	MAP2K3+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP2K6+ELMSAN1	MAP2K6+ELMSAN1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP2K6+IKZF3	MAP2K6+IKZF3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP2K6	MAP2K6+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP4K3	MAP4K3+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	MAP4K5	MAP4K5+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAP7D1	MAP7D1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAPK1+IKZF3	MAPK1+IKZF3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAPK1+PRTG	MAPK1+PRTG	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAPK1+TGFBR2	MAPK1+TGFBR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MAPK1	MAPK1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MEIS1	MEIS1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	MIDN	MIDN+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	NCL	NCL+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	NIT1	NIT1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	OSR2	OSR2+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	PLK4+STIL	PLK4+STIL	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PLK4	PLK4+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	POU3F2+CBFA2T3	POU3F2+CBFA2T3	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	POU3F2+FOXL2	POU3F2+FOXL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	POU3F2	POU3F2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PRDM1+CBFA2T3	PRDM1+CBFA2T3	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	PRDM1	PRDM1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PRTG	PRTG+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PTPN1	PTPN1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PTPN12+PTPN9	PTPN12+PTPN9	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PTPN12+SNAI1	PTPN12+SNAI1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PTPN12+UBASH3A	PTPN12+UBASH3A	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PTPN12+ZBTB25	PTPN12+ZBTB25	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	PTPN12	PTPN12+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	PTPN13	PTPN13+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	PTPN9	PTPN9+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	RREB1	RREB1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	RUNX1T1	RUNX1T1+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	S1PR2	S1PR2+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	SAMD1+PTPN12	SAMD1+PTPN12	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SAMD1+TGFBR2	SAMD1+TGFBR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SAMD1+UBASH3B	SAMD1+UBASH3B	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SAMD1	SAMD1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SET+CEBPE	SET+CEBPE	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	SET+KLF1	SET+KLF1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SET	SET+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	SGK1+S1PR2	SGK1+S1PR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SGK1+TBX2	SGK1+TBX2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SGK1+TBX3	SGK1+TBX3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SGK1	SGK1+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	SLC4A1	SLC4A1+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	SLC6A9	SLC6A9+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SNAI1+DLX2	SNAI1+DLX2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SNAI1	SNAI1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	SPI1	SPI1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	STIL	STIL+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TBX2	TBX2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TBX3+TBX2	TBX3+TBX2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TBX3	TBX3+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TGFBR2+C19orf26	TGFBR2+C19orf26	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TGFBR2+PRTG	TGFBR2+PRTG	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TGFBR2	TGFBR2+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TMSB4X+BAK1	TMSB4X+BAK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TMSB4X	TMSB4X+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	TP73	TP73+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	UBASH3A	UBASH3A+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	UBASH3B+CNN1	UBASH3B+CNN1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	UBASH3B+OSR2	UBASH3B+OSR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	UBASH3B+PTPN9	UBASH3B+PTPN9	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	UBASH3B+UBASH3A	UBASH3B+UBASH3A	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	UBASH3B+ZBTB25	UBASH3B+ZBTB25	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	UBASH3B	UBASH3B+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZBTB1	ZBTB1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZBTB10+DLX2	ZBTB10+DLX2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZBTB10+ELMSAN1	ZBTB10+ELMSAN1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZBTB10+PTPN12	ZBTB10+PTPN12	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZBTB10+SNAI1	ZBTB10+SNAI1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZBTB10	ZBTB10+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZBTB25	ZBTB25+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZC3HAV1+CEBPA	ZC3HAV1+CEBPA	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZC3HAV1+CEBPE	ZC3HAV1+CEBPE	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZC3HAV1+HOXC13	ZC3HAV1+HOXC13	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZC3HAV1	ZC3HAV1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ZNF318	ZNF318+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl	ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+BAK1	ctrl+BAK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+C19orf26	ctrl+C19orf26	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+CBFA2T3	ctrl+CBFA2T3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+CDKN1A	ctrl+CDKN1A	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+CDKN1B	ctrl+CDKN1B	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+CEBPA	ctrl+CEBPA	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+CEBPB	ctrl+CEBPB	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+CEBPE	ctrl+CEBPE	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+CLDN6	ctrl+CLDN6	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+CNN1	ctrl+CNN1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+COL2A1	ctrl+COL2A1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+DLX2	ctrl+DLX2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+ELMSAN1	ctrl+ELMSAN1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+ETS2	ctrl+ETS2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+FEV	ctrl+FEV	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+FOXA1	ctrl+FOXA1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+FOXF1	ctrl+FOXF1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+FOXL2	ctrl+FOXL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+HOXB9	ctrl+HOXB9	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+HOXC13	ctrl+HOXC13	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+IGDCC3	ctrl+IGDCC3	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+IKZF3	ctrl+IKZF3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+ISL2	ctrl+ISL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+KIF2C	ctrl+KIF2C	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+KLF1	ctrl+KLF1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+MAP7D1	ctrl+MAP7D1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+MAPK1	ctrl+MAPK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+MEIS1	ctrl+MEIS1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+OSR2	ctrl+OSR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+PTPN12	ctrl+PTPN12	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+PTPN9	ctrl+PTPN9	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+RUNX1T1	ctrl+RUNX1T1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+SAMD1	ctrl+SAMD1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+SET	ctrl+SET	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+SLC38A2	ctrl+SLC38A2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+SNAI1	ctrl+SNAI1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+SPI1	ctrl+SPI1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+STIL	ctrl+STIL	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+TBX3	ctrl+TBX3	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+TGFBR2	ctrl+TGFBR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ctrl+UBASH3B	ctrl+UBASH3B	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	ctrl+ZBTB1	ctrl+ZBTB1	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	AHR+FEV	AHR+FEV	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	AHR+KLF1	AHR+KLF1	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	AHR	AHR+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	ARID1A	ARID1A+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	ARRDC3	ARRDC3+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	ATL1	ATL1+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	BAK1	BAK1+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	BCL2L11+TGFBR2	BCL2L11+TGFBR2	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	BCL2L11	BCL2L11+ctrl	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	BCORL1	BCORL1+ctrl	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	BPGM+SAMD1	BPGM+SAMD1	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	BPGM+ZBTB1	BPGM+ZBTB1	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	BPGM	BPGM+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	C19orf26	C19orf26+ctrl	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	C3orf72+FOXL2	C3orf72+FOXL2	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	C3orf72	C3orf72+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CBFA2T3	CBFA2T3+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CBL+CNN1	CBL+CNN1	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CBL+PTPN12	CBL+PTPN12	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CBL+PTPN9	CBL+PTPN9	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CBL+UBASH3A	CBL+UBASH3A	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CBL	CBL+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CDKN1A	CDKN1A+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CDKN1B+CDKN1A	CDKN1B+CDKN1A	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CDKN1B	CDKN1B+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CEBPA	CEBPA+ctrl	True	False	True	False	ALIGNED	
norman_l2	L2_seed1	CEBPB+MAPK1	CEBPB+MAPK1	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	CEBPB	CEBPB+ctrl	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	CEBPE+CEBPB	CEBPE+CEBPB	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	CEBPE+SPI1	CEBPE+SPI1	False	True	False	True	ALIGNED	
norman_l2	L2_seed1	CEBPE	CEBPE+ctrl	False	True	False	True	ALIGNED	
