target	category	k562_cells	rpe1_cells	k562_control_count	rpe1_control_count	cross_context_eligible
ATF4	K562 only	52	0	10691	11485	False
ATF5	shared	133	65	10691	11485	True
ATIC	RPE1 only	0	85	10691	11485	False
ATL2	RPE1 only	0	69	10691	11485	False
ATP11B	RPE1 only	0	121	10691	11485	False
ATP1A1	K562 only	71	0	10691	11485	False
ATP2A2	RPE1 only	0	135	10691	11485	False
ATP5F1C	RPE1 only	0	44	10691	11485	False
ATP5MF	RPE1 only	0	223	10691	11485	False
ATP5PO	RPE1 only	0	135	10691	11485	False
ATP6AP1	shared	114	174	10691	11485	True
ATP6AP2	RPE1 only	0	265	10691	11485	False
ATP6V0B	shared	136	107	10691	11485	True
ATP6V0C	shared	47	220	10691	11485	True
ATP6V0D1	RPE1 only	0	91	10691	11485	False
ATP6V1A	shared	89	76	10691	11485	True
ATP6V1B2	shared	406	158	10691	11485	True
ATP6V1D	RPE1 only	0	52	10691	11485	False
ATP6V1E1	RPE1 only	0	55	10691	11485	False
ATP6V1G1	RPE1 only	0	124	10691	11485	False
ATP6V1H	RPE1 only	0	78	10691	11485	False
ATR	shared	133	158	10691	11485	True
ATRIP	shared	183	74	10691	11485	True
ATXN10	RPE1 only	0	55	10691	11485	False
AURKA	RPE1 only	0	31	10691	11485	False
AURKAIP1	RPE1 only	0	25	10691	11485	False
BAG6	RPE1 only	0	68	10691	11485	False
BANF1	RPE1 only	0	29	10691	11485	False
BANP	shared	101	32	10691	11485	True
BAP1	shared	190	110	10691	11485	True
BCAR1	RPE1 only	0	593	10691	11485	False
BCAS2	shared	197	33	10691	11485	True
BCL2L1	RPE1 only	0	373	10691	11485	False
BDP1	shared	277	42	10691	11485	True
BET1	RPE1 only	0	67	10691	11485	False
BGLAP	shared	236	59	10691	11485	True
BMS1	shared	18	50	10691	11485	False
BNIP1	shared	107	57	10691	11485	True
BOD1L1	RPE1 only	0	86	10691	11485	False
BOP1	shared	103	108	10691	11485	True
BORA	RPE1 only	0	73	10691	11485	False
BPTF	RPE1 only	0	84	10691	11485	False
BRCA2	RPE1 only	0	80	10691	11485	False
BRD2	RPE1 only	0	81	10691	11485	False
BRD8	K562 only	68	0	10691	11485	False
BRF1	RPE1 only	0	60	10691	11485	False
BRF2	RPE1 only	0	94	10691	11485	False
BRIX1	shared	109	38	10691	11485	True
BRK1	RPE1 only	0	47	10691	11485	False
BTAF1	RPE1 only	0	72	10691	11485	False
BTF3	shared	65	96	10691	11485	True
BUB1	RPE1 only	0	74	10691	11485	False
BUB1B	RPE1 only	0	102	10691	11485	False
BUB3	K562 only	246	0	10691	11485	False
BUD13	shared	160	36	10691	11485	True
BUD31	shared	15	33	10691	11485	False
BYSL	K562 only	87	0	10691	11485	False
C12ORF45	K562 only	94	0	10691	11485	False
C12ORF60	RPE1 only	0	42	10691	11485	False
C14ORF178	shared	143	292	10691	11485	True
C19ORF25	RPE1 only	0	50	10691	11485	False
C1D	RPE1 only	0	51	10691	11485	False
C1QBP	K562 only	180	0	10691	11485	False
C5ORF30	RPE1 only	0	43	10691	11485	False
C7ORF26	shared	84	378	10691	11485	True
C9ORF16	RPE1 only	0	152	10691	11485	False
C9ORF78	RPE1 only	0	92	10691	11485	False
CABIN1	RPE1 only	0	161	10691	11485	False
CACTIN	shared	55	90	10691	11485	True
CALR	RPE1 only	0	73	10691	11485	False
CAMLG	RPE1 only	0	155	10691	11485	False
CAPZB	shared	64	77	10691	11485	True
CARS	RPE1 only	0	48	10691	11485	False
CASC3	RPE1 only	0	168	10691	11485	False
CASP8AP2	shared	192	24	10691	11485	False
CAST	RPE1 only	0	30	10691	11485	False
CBLL1	shared	93	74	10691	11485	True
CCAR1	RPE1 only	0	103	10691	11485	False
CCDC115	RPE1 only	0	52	10691	11485	False
CCDC130	RPE1 only	0	93	10691	11485	False
CCDC137	RPE1 only	0	40	10691	11485	False
CCDC174	shared	97	26	10691	11485	False
CCDC59	shared	100	44	10691	11485	True
CCDC6	RPE1 only	0	1051	10691	11485	False
CCDC78	RPE1 only	0	492	10691	11485	False
CCDC84	shared	77	42	10691	11485	True
CCDC86	K562 only	235	0	10691	11485	False
CCNC	RPE1 only	0	122	10691	11485	False
CCNH	shared	75	69	10691	11485	True
CCNK	shared	211	273	10691	11485	True
CCNL1	RPE1 only	0	51	10691	11485	False
CCNQ	RPE1 only	0	40	10691	11485	False
CCT2	shared	175	51	10691	11485	True
CCT3	shared	217	51	10691	11485	True
CCT4	shared	215	60	10691	11485	True
CCT5	K562 only	63	0	10691	11485	False
CCT6A	shared	96	64	10691	11485	True
CCT7	shared	141	58	10691	11485	True
CCT8	shared	95	44	10691	11485	True
CD2BP2	RPE1 only	0	59	10691	11485	False
CD3EAP	shared	85	38	10691	11485	True
CDAN1	shared	137	41	10691	11485	True
CDC123	shared	96	31	10691	11485	True
CDC16	shared	142	94	10691	11485	True
CDC23	K562 only	158	0	10691	11485	False
CDC26	RPE1 only	0	27	10691	11485	False
CDC27	shared	245	30	10691	11485	True
CDC40	K562 only	84	0	10691	11485	False
CDC42	RPE1 only	0	33	10691	11485	False
CDC45	RPE1 only	0	23	10691	11485	False
CDC5L	shared	77	66	10691	11485	True
CDC6	shared	153	78	10691	11485	True
CDC7	RPE1 only	0	30	10691	11485	False
CDC73	shared	140	56	10691	11485	True
CDCA5	RPE1 only	0	84	10691	11485	False
CDIPT	RPE1 only	0	81	10691	11485	False
CDK1	shared	239	79	10691	11485	True
CDK12	RPE1 only	0	60	10691	11485	False
CDK2	RPE1 only	0	204	10691	11485	False
CDK9	shared	134	31	10691	11485	True
CDT1	RPE1 only	0	101	10691	11485	False
CEBPZ	shared	89	45	10691	11485	True
CENPC	shared	116	43	10691	11485	True
CENPE	shared	171	34	10691	11485	True
CENPH	RPE1 only	0	35	10691	11485	False
CENPI	RPE1 only	0	28	10691	11485	False
CENPJ	shared	265	49	10691	11485	True
CENPK	shared	93	70	10691	11485	True
CENPN	RPE1 only	0	73	10691	11485	False
CENPP	RPE1 only	0	27	10691	11485	False
CENPW	RPE1 only	0	130	10691	11485	False
CEP192	shared	184	53	10691	11485	True
CEP85	RPE1 only	0	67	10691	11485	False
CFDP1	RPE1 only	0	80	10691	11485	False
CFL1	RPE1 only	0	139	10691	11485	False
CHAF1A	shared	33	26	10691	11485	False
CHAF1B	shared	82	56	10691	11485	True
CHCHD3	RPE1 only	0	42	10691	11485	False
CHCHD4	shared	132	136	10691	11485	True
CHD4	shared	31	109	10691	11485	True
CHEK1	shared	205	49	10691	11485	True
CHERP	shared	54	58	10691	11485	True
CHMP1A	K562 only	71	0	10691	11485	False
CHMP2A	K562 only	61	0	10691	11485	False
CHMP3	shared	119	32	10691	11485	True
CHMP5	RPE1 only	0	64	10691	11485	False
CHMP6	shared	620	104	10691	11485	True
CHMP7	RPE1 only	0	68	10691	11485	False
CHORDC1	RPE1 only	0	142	10691	11485	False
CHTF18	RPE1 only	0	118	10691	11485	False
CIAO1	RPE1 only	0	88	10691	11485	False
CIAPIN1	shared	139	95	10691	11485	True
CINP	shared	73	40	10691	11485	True
CKAP5	shared	159	83	10691	11485	True
CLASRP	RPE1 only	0	332	10691	11485	False
CLNS1A	shared	46	68	10691	11485	True
CLOCK	RPE1 only	0	647	10691	11485	False
CLP1	shared	51	27	10691	11485	False
CLSPN	shared	76	23	10691	11485	False
CLTC	shared	129	34	10691	11485	True
CMTR1	shared	138	80	10691	11485	True
CNIH4	shared	65	97	10691	11485	True
CNOT1	shared	202	92	10691	11485	True
CNOT10	RPE1 only	0	88	10691	11485	False
CNOT11	RPE1 only	0	67	10691	11485	False
CNOT2	shared	64	62	10691	11485	True
CNOT3	shared	303	54	10691	11485	True
CNOT9	RPE1 only	0	32	10691	11485	False
COASY	RPE1 only	0	59	10691	11485	False
COG1	RPE1 only	0	66	10691	11485	False
COG2	shared	332	40	10691	11485	True
COG3	K562 only	55	0	10691	11485	False
COG4	RPE1 only	0	62	10691	11485	False
COG6	RPE1 only	0	94	10691	11485	False
COMTD1	RPE1 only	0	138	10691	11485	False
COPB1	shared	56	15	10691	11485	False
COPB2	K562 only	60	0	10691	11485	False
COPS2	shared	44	41	10691	11485	True
COPS3	shared	59	43	10691	11485	True
COPS4	shared	253	42	10691	11485	True
COPS5	shared	72	28	10691	11485	False
COPS6	shared	222	47	10691	11485	True
COPS8	shared	198	72	10691	11485	True
COPZ1	K562 only	92	0	10691	11485	False
COQ4	RPE1 only	0	40	10691	11485	False
COTL1	RPE1 only	0	108	10691	11485	False
COX11	shared	103	114	10691	11485	True
COX15	shared	103	47	10691	11485	True
COX17	K562 only	129	0	10691	11485	False
COX7C	K562 only	154	0	10691	11485	False
CPEB1	RPE1 only	0	32	10691	11485	False
CPNE1	RPE1 only	0	56	10691	11485	False
CPNE7	RPE1 only	0	184	10691	11485	False
CPSF1	shared	48	50	10691	11485	True
CPSF3	shared	575	173	10691	11485	True
CPSF4	shared	57	32	10691	11485	True
CPSF6	shared	43	25	10691	11485	False
CRCP	RPE1 only	0	91	10691	11485	False
CRKL	RPE1 only	0	35	10691	11485	False
CRNKL1	K562 only	215	0	10691	11485	False
CS	RPE1 only	0	99	10691	11485	False
CSDE1	RPE1 only	0	54	10691	11485	False
CSE1L	shared	373	252	10691	11485	True
CSNK1A1	K562 only	131	0	10691	11485	False
CSNK2B	shared	110	68	10691	11485	True
CSTF1	shared	129	113	10691	11485	True
CSTF3	shared	59	58	10691	11485	True
CTDP1	K562 only	117	0	10691	11485	False
CTNNBL1	shared	65	76	10691	11485	True
CTPS1	RPE1 only	0	25	10691	11485	False
CTR9	shared	197	38	10691	11485	True
CTU2	RPE1 only	0	81	10691	11485	False
CUL1	shared	181	69	10691	11485	True
CUL2	shared	84	29	10691	11485	False
CUL3	RPE1 only	0	93	10691	11485	False
CUL7	shared	33	36	10691	11485	True
CWC15	shared	144	57	10691	11485	True
CWC22	K562 only	28	0	10691	11485	False
CWC25	RPE1 only	0	31	10691	11485	False
CWF19L2	shared	187	58	10691	11485	True
CXXC1	shared	115	92	10691	11485	True
CYC1	RPE1 only	0	73	10691	11485	False
CYCS	K562 only	160	0	10691	11485	False
CYFIP1	RPE1 only	0	27	10691	11485	False
CYREN	RPE1 only	0	45	10691	11485	False
DAD1	shared	72	36	10691	11485	True
DAP3	K562 only	141	0	10691	11485	False
DARS	shared	60	30	10691	11485	True
DAXX	RPE1 only	0	111	10691	11485	False
DBR1	shared	96	131	10691	11485	True
DCTN2	RPE1 only	0	99	10691	11485	False
DCTN3	RPE1 only	0	144	10691	11485	False
DCTN4	RPE1 only	0	110	10691	11485	False
DCTN6	RPE1 only	0	71	10691	11485	False
DCUN1D5	shared	164	79	10691	11485	True
DDB1	shared	85	74	10691	11485	True
DDOST	shared	74	53	10691	11485	True
DDX1	RPE1 only	0	121	10691	11485	False
DDX10	shared	97	32	10691	11485	True
DDX17	RPE1 only	0	154	10691	11485	False
DDX18	K562 only	112	0	10691	11485	False
DDX19A	RPE1 only	0	393	10691	11485	False
DDX20	shared	110	44	10691	11485	True
DDX21	shared	76	26	10691	11485	False
DDX23	shared	126	168	10691	11485	True
DDX24	K562 only	230	0	10691	11485	False
DDX27	shared	40	32	10691	11485	True
DDX41	shared	259	30	10691	11485	True
DDX46	shared	140	95	10691	11485	True
DDX47	shared	313	93	10691	11485	True
DDX49	K562 only	41	0	10691	11485	False
DDX5	shared	134	197	10691	11485	True
DDX51	shared	120	54	10691	11485	True
DDX52	shared	106	34	10691	11485	True
DDX54	shared	68	72	10691	11485	True
DDX55	shared	150	76	10691	11485	True
DDX56	shared	144	26	10691	11485	False
DDX59	shared	152	46	10691	11485	True
DDX6	K562 only	56	0	10691	11485	False
DENR	shared	228	77	10691	11485	True
DERL2	shared	122	140	10691	11485	True
DESI1	RPE1 only	0	29	10691	11485	False
DGCR8	RPE1 only	0	43	10691	11485	False
DHDDS	shared	95	59	10691	11485	True
DHODH	K562 only	207	0	10691	11485	False
DHPS	RPE1 only	0	73	10691	11485	False
DHX15	shared	313	76	10691	11485	True
DHX16	shared	305	71	10691	11485	True
DHX30	RPE1 only	0	105	10691	11485	False
DHX33	shared	127	44	10691	11485	True
DHX36	shared	248	71	10691	11485	True
DHX37	shared	202	40	10691	11485	True
DHX8	RPE1 only	0	88	10691	11485	False
DHX9	RPE1 only	0	82	10691	11485	False
DICER1	shared	153	94	10691	11485	True
DIMT1	shared	83	35	10691	11485	True
DIS3	K562 only	40	0	10691	11485	False
DKC1	shared	51	23	10691	11485	False
DLD	shared	283	71	10691	11485	True
DMAP1	shared	71	43	10691	11485	True
DNAJA3	shared	122	155	10691	11485	True
DNAJC17	shared	30	73	10691	11485	True
DNAJC19	K562 only	328	0	10691	11485	False
DNAJC8	shared	267	138	10691	11485	True
DNM1L	K562 only	144	0	10691	11485	False
DNM2	RPE1 only	0	52	10691	11485	False
DNMT1	shared	146	102	10691	11485	True
DNTTIP2	K562 only	235	0	10691	11485	False
DOHH	shared	152	118	10691	11485	True
DOLK	RPE1 only	0	121	10691	11485	False
DONSON	K562 only	688	0	10691	11485	False
DPAGT1	RPE1 only	0	60	10691	11485	False
DPH1	RPE1 only	0	239	10691	11485	False
DPH2	shared	161	57	10691	11485	True
DPH3	RPE1 only	0	60	10691	11485	False
DPY19L4	RPE1 only	0	184	10691	11485	False
DR1	shared	103	37	10691	11485	True
DRAP1	shared	184	139	10691	11485	True
DSN1	shared	234	38	10691	11485	True
DSTYK	RPE1 only	0	258	10691	11485	False
DTL	shared	87	47	10691	11485	True
DTYMK	K562 only	73	0	10691	11485	False
DUT	shared	47	50	10691	11485	True
DYNC1H1	shared	217	31	10691	11485	True
DYNC1I2	shared	239	52	10691	11485	True
DYNLL1	shared	57	64	10691	11485	True
DYNLL2	RPE1 only	0	212	10691	11485	False
DYNLRB1	shared	192	125	10691	11485	True
E4F1	shared	130	49	10691	11485	True
EARS2	RPE1 only	0	129	10691	11485	False
EBNA1BP2	shared	70	32	10691	11485	True
ECD	shared	69	48	10691	11485	True
EDC4	RPE1 only	0	94	10691	11485	False
EEF1G	shared	170	60	10691	11485	True
EEF2	shared	192	62	10691	11485	True
EEFSEC	RPE1 only	0	35	10691	11485	False
EFR3A	RPE1 only	0	214	10691	11485	False
EFTUD2	shared	73	98	10691	11485	True
EHMT2	RPE1 only	0	171	10691	11485	False
EIF1	RPE1 only	0	146	10691	11485	False
EIF1AX	shared	97	53	10691	11485	True
EIF2B1	shared	162	100	10691	11485	True
EIF2B2	shared	307	147	10691	11485	True
EIF2B3	shared	96	103	10691	11485	True
EIF2B4	shared	301	65	10691	11485	True
EIF2B5	shared	412	114	10691	11485	True
EIF2S1	shared	208	75	10691	11485	True
EIF2S2	shared	77	33	10691	11485	True
EIF2S3	shared	48	62	10691	11485	True
EIF3A	shared	277	54	10691	11485	True
EIF3B	shared	25	109	10691	11485	False
EIF3CL	shared	44	337	10691	11485	True
EIF3D	shared	144	49	10691	11485	True
EIF3E	shared	165	44	10691	11485	True
EIF3F	K562 only	36	0	10691	11485	False
EIF3G	K562 only	57	0	10691	11485	False
EIF3H	K562 only	341	0	10691	11485	False
EIF3I	shared	42	73	10691	11485	True
EIF3J	shared	72	64	10691	11485	True
EIF3L	RPE1 only	0	114	10691	11485	False
EIF3M	shared	217	63	10691	11485	True
EIF4A1	RPE1 only	0	49	10691	11485	False
EIF4A3	RPE1 only	0	20	10691	11485	False
EIF4B	RPE1 only	0	380	10691	11485	False
EIF4E	shared	324	65	10691	11485	True
EIF4G1	shared	294	69	10691	11485	True
EIF4G2	shared	243	155	10691	11485	True
EIF4H	RPE1 only	0	148	10691	11485	False
EIF5	K562 only	115	0	10691	11485	False
EIF5A	shared	95	61	10691	11485	True
EIF6	shared	107	57	10691	11485	True
ELAC2	RPE1 only	0	99	10691	11485	False
ELL	RPE1 only	0	168	10691	11485	False
ELOB	RPE1 only	0	128	10691	11485	False
ELOF1	RPE1 only	0	150	10691	11485	False
ELP2	RPE1 only	0	72	10691	11485	False
ELP3	shared	117	108	10691	11485	True
ELP4	RPE1 only	0	27	10691	11485	False
ELP5	shared	167	101	10691	11485	True
ELP6	RPE1 only	0	79	10691	11485	False
EMC3	RPE1 only	0	103	10691	11485	False
EMC4	RPE1 only	0	80	10691	11485	False
EMC7	RPE1 only	0	134	10691	11485	False
ENY2	RPE1 only	0	84	10691	11485	False
EP400	shared	78	60	10691	11485	True
EPB41L2	RPE1 only	0	125	10691	11485	False
EPRS	shared	75	42	10691	11485	True
ERCC2	shared	116	94	10691	11485	True
ERCC3	shared	160	28	10691	11485	False
ERH	shared	50	22	10691	11485	False
ESF1	K562 only	121	0	10691	11485	False
ESPL1	RPE1 only	0	26	10691	11485	False
ESYT1	RPE1 only	0	57	10691	11485	False
ESYT2	RPE1 only	0	49	10691	11485	False
ETF1	shared	48	84	10691	11485	True
ETV4	RPE1 only	0	71	10691	11485	False
EWSR1	RPE1 only	0	88	10691	11485	False
EXOC1	RPE1 only	0	46	10691	11485	False
EXOC2	RPE1 only	0	85	10691	11485	False
EXOC3	RPE1 only	0	52	10691	11485	False
EXOC4	RPE1 only	0	27	10691	11485	False
EXOC5	RPE1 only	0	91	10691	11485	False
EXOC7	shared	32	32	10691	11485	True
EXOSC1	RPE1 only	0	46	10691	11485	False
EXOSC10	K562 only	77	0	10691	11485	False
EXOSC2	shared	209	42	10691	11485	True
EXOSC3	shared	44	54	10691	11485	True
EXOSC4	shared	89	58	10691	11485	True
EXOSC5	shared	38	61	10691	11485	True
EXOSC6	K562 only	63	0	10691	11485	False
EXOSC7	shared	84	43	10691	11485	True
EXOSC8	shared	118	43	10691	11485	True
EXOSC9	shared	30	25	10691	11485	False
FAF2	RPE1 only	0	115	10691	11485	False
FAM102B	RPE1 only	0	81	10691	11485	False
FAM136A	shared	45	504	10691	11485	True
FAM32A	shared	332	44	10691	11485	True
FAM50A	shared	38	116	10691	11485	True
FARS2	RPE1 only	0	27	10691	11485	False
FARSA	shared	128	57	10691	11485	True
FARSB	shared	91	25	10691	11485	False
FASN	RPE1 only	0	71	10691	11485	False
FASTKD5	K562 only	182	0	10691	11485	False
FAU	shared	30	49	10691	11485	True
FBL	K562 only	127	0	10691	11485	False
FBRSL1	RPE1 only	0	77	10691	11485	False
FBXL14	RPE1 only	0	91	10691	11485	False
FBXO42	RPE1 only	0	876	10691	11485	False
FBXO5	K562 only	233	0	10691	11485	False
FBXW7	RPE1 only	0	197	10691	11485	False
FCF1	K562 only	225	0	10691	11485	False
FEN1	RPE1 only	0	47	10691	11485	False
FKBP9	RPE1 only	0	42	10691	11485	False
FNBP4	RPE1 only	0	114	10691	11485	False
FNTA	shared	69	36	10691	11485	True
FOLR3	RPE1 only	0	219	10691	11485	False
FOXO1	RPE1 only	0	65	10691	11485	False
FOXS1	RPE1 only	0	88	10691	11485	False
FTSJ3	shared	153	41	10691	11485	True
FUNDC2	RPE1 only	0	41	10691	11485	False
FXN	RPE1 only	0	33	10691	11485	False
FYN	RPE1 only	0	146	10691	11485	False
GAB2	K562 only	637	0	10691	11485	False
GABPA	RPE1 only	0	62	10691	11485	False
GABPB1	RPE1 only	0	48	10691	11485	False
GAPDH	RPE1 only	0	95	10691	11485	False
GAR1	shared	121	27	10691	11485	False
GARS	shared	148	99	10691	11485	True
GART	RPE1 only	0	45	10691	11485	False
GATA1	K562 only	95	0	10691	11485	False
GBF1	shared	155	93	10691	11485	True
GEMIN4	RPE1 only	0	79	10691	11485	False
GEMIN5	shared	128	95	10691	11485	True
GEMIN6	RPE1 only	0	45	10691	11485	False
GEMIN8	RPE1 only	0	45	10691	11485	False
GET3	RPE1 only	0	161	10691	11485	False
GFER	shared	198	67	10691	11485	True
GFM1	shared	230	1669	10691	11485	True
GFOD2	RPE1 only	0	123	10691	11485	False
GGPS1	RPE1 only	0	52	10691	11485	False
GINS1	shared	181	43	10691	11485	True
GINS2	shared	130	57	10691	11485	True
GINS3	K562 only	98	0	10691	11485	False
GINS4	shared	58	79	10691	11485	True
GIT2	RPE1 only	0	48	10691	11485	False
GLE1	shared	54	81	10691	11485	True
GLRX3	RPE1 only	0	80	10691	11485	False
GMIP	RPE1 only	0	140	10691	11485	False
GMPS	K562 only	94	0	10691	11485	False
GNB1L	RPE1 only	0	105	10691	11485	False
GNL2	shared	295	47	10691	11485	True
GNL3	shared	32	34	10691	11485	True
GNL3L	K562 only	66	0	10691	11485	False
GOLT1B	shared	269	140	10691	11485	True
GON4L	RPE1 only	0	107	10691	11485	False
GPKOW	shared	105	41	10691	11485	True
GPN1	K562 only	76	0	10691	11485	False
GPN2	shared	42	37	10691	11485	True
GPN3	shared	250	34	10691	11485	True
GPS1	shared	372	226	10691	11485	True
GPS2	RPE1 only	0	122	10691	11485	False
GRB2	shared	53	112	10691	11485	True
GRPEL1	shared	96	94	10691	11485	True
GRSF1	shared	146	122	10691	11485	True
GRWD1	RPE1 only	0	69	10691	11485	False
GSK3B	RPE1 only	0	84	10691	11485	False
GSPT1	shared	84	47	10691	11485	True
GTF2A1	shared	105	35	10691	11485	True
GTF2A2	shared	161	55	10691	11485	True
GTF2B	K562 only	34	0	10691	11485	False
GTF2E1	shared	176	46	10691	11485	True
GTF2E2	shared	69	265	10691	11485	True
GTF2F2	shared	52	55	10691	11485	True
GTF2H1	K562 only	409	0	10691	11485	False
GTF2H2	RPE1 only	0	47	10691	11485	False
GTF2H3	RPE1 only	0	66	10691	11485	False
GTF2H4	shared	108	56	10691	11485	True
GTF3A	RPE1 only	0	32	10691	11485	False
GTF3C1	RPE1 only	0	66	10691	11485	False
GTF3C2	RPE1 only	0	77	10691	11485	False
GTF3C3	shared	129	69	10691	11485	True
GTF3C4	RPE1 only	0	889	10691	11485	False
GTF3C5	RPE1 only	0	103	10691	11485	False
GTF3C6	RPE1 only	0	131	10691	11485	False
GTPBP4	shared	54	40	10691	11485	True
GUCD1	shared	247	54	10691	11485	True
GYG1	RPE1 only	0	284	10691	11485	False
H2AFZ	RPE1 only	0	264	10691	11485	False
HARS	shared	263	83	10691	11485	True
HARS2	K562 only	62	0	10691	11485	False
HAUS1	RPE1 only	0	48	10691	11485	False
HAUS3	RPE1 only	0	37	10691	11485	False
HAUS4	shared	183	153	10691	11485	True
HAUS5	shared	153	90	10691	11485	True
HAUS6	RPE1 only	0	61	10691	11485	False
HAUS7	RPE1 only	0	117	10691	11485	False
HAUS8	RPE1 only	0	169	10691	11485	False
HBS1L	shared	120	45	10691	11485	True
HDAC3	RPE1 only	0	58	10691	11485	False
HDAC7	shared	148	86	10691	11485	True
HEATR1	K562 only	216	0	10691	11485	False
HERC1	RPE1 only	0	90	10691	11485	False
HEXIM1	RPE1 only	0	48	10691	11485	False
HGS	shared	96	44	10691	11485	True
HINFP	K562 only	157	0	10691	11485	False
HIPK1	RPE1 only	0	69	10691	11485	False
HIRA	shared	228	221	10691	11485	True
HJURP	RPE1 only	0	116	10691	11485	False
HMGA1	RPE1 only	0	66	10691	11485	False
HMGB3	RPE1 only	0	91	10691	11485	False
HMGCS1	shared	216	259	10691	11485	True
HMX3	RPE1 only	0	54	10691	11485	False
HNRNPA1	RPE1 only	0	133	10691	11485	False
HNRNPC	shared	273	49	10691	11485	True
HNRNPH1	shared	118	145	10691	11485	True
HNRNPK	RPE1 only	0	69	10691	11485	False
HNRNPL	shared	55	81	10691	11485	True
HNRNPM	K562 only	131	0	10691	11485	False
HNRNPR	RPE1 only	0	51	10691	11485	False
HNRNPU	shared	74	72	10691	11485	True
HPS5	RPE1 only	0	39	10691	11485	False
HSCB	shared	85	227	10691	11485	True
HSD17B10	RPE1 only	0	809	10691	11485	False
HSD17B12	K562 only	135	0	10691	11485	False
HSF1	K562 only	87	0	10691	11485	False
HSP90B1	RPE1 only	0	138	10691	11485	False
HSPA14	RPE1 only	0	104	10691	11485	False
HSPA5	shared	248	64	10691	11485	True
HSPA8	K562 only	149	0	10691	11485	False
HSPA9	shared	385	94	10691	11485	True
HSPD1	RPE1 only	0	29	10691	11485	False
HSPE1	shared	27	98	10691	11485	False
HSPH1	RPE1 only	0	25	10691	11485	False
HTATSF1	RPE1 only	0	57	10691	11485	False
HUS1	RPE1 only	0	222	10691	11485	False
HUWE1	shared	77	64	10691	11485	True
HYOU1	RPE1 only	0	64	10691	11485	False
HYPK	K562 only	121	0	10691	11485	False
IARS	shared	45	32	10691	11485	True
IARS2	shared	185	81	10691	11485	True
ICE1	shared	319	61	10691	11485	True
IGBP1	shared	245	71	10691	11485	True
IK	shared	123	191	10691	11485	True
ILF2	shared	55	54	10691	11485	True
ILF3	shared	129	28	10691	11485	False
IMP4	K562 only	148	0	10691	11485	False
IMPA2	RPE1 only	0	40	10691	11485	False
IMPDH2	K562 only	70	0	10691	11485	False
INF2	RPE1 only	0	115	10691	11485	False
ING3	RPE1 only	0	133	10691	11485	False
INO80	shared	143	40	10691	11485	True
INO80B	shared	115	80	10691	11485	True
INO80C	RPE1 only	0	147	10691	11485	False
INO80D	RPE1 only	0	58	10691	11485	False
INO80E	RPE1 only	0	79	10691	11485	False
