target	in_k562_rl1	in_rpe1_rl1	in_k2r_rl4	in_r2k_rl4	matched_k2r_source	matched_r2k_source	matched_k2r_target_context	matched_r2k_target_context
CINP	False	False	True	True	False	False	False	False
CKAP5	True	False	True	True	True	False	False	True
CLNS1A	False	False	True	True	False	False	False	False
CLTC	False	False	True	True	False	False	False	False
CMTR1	False	False	True	True	False	False	False	False
CNIH4	True	True	True	True	True	True	True	True
CNOT1	False	False	True	True	False	False	False	False
CNOT2	False	False	True	True	False	False	False	False
CNOT3	False	False	True	True	False	False	False	False
COG2	False	False	True	True	False	False	False	False
COPS2	False	False	True	True	False	False	False	False
COPS3	False	False	True	True	False	False	False	False
COPS4	False	False	True	True	False	False	False	False
COPS6	False	False	True	True	False	False	False	False
COPS8	False	False	True	True	False	False	False	False
COX11	False	False	True	True	False	False	False	False
COX15	False	False	True	True	False	False	False	False
CPSF1	True	True	True	True	True	True	True	True
CPSF3	False	False	True	True	False	False	False	False
CPSF4	False	False	True	True	False	False	False	False
CPSF6	True	True	False	False	False	False	False	False
CSDE1	False	True	False	False	False	False	False	False
CSE1L	False	True	True	True	False	True	True	False
CSNK2B	False	False	True	True	False	False	False	False
CSTF1	False	False	True	True	False	False	False	False
CSTF3	False	False	True	True	False	False	False	False
CTNNBL1	False	True	True	True	False	True	True	False
CTR9	False	False	True	True	False	False	False	False
CUL1	False	False	True	True	False	False	False	False
CUL7	False	False	True	True	False	False	False	False
CWC15	False	False	True	True	False	False	False	False
CWF19L2	False	False	True	True	False	False	False	False
CXXC1	True	True	True	True	True	True	True	True
CYCS	True	False	False	False	False	False	False	False
DAD1	False	False	True	True	False	False	False	False
DARS	False	False	True	True	False	False	False	False
DBR1	True	False	True	True	True	False	False	True
DCTN6	False	True	False	False	False	False	False	False
DCUN1D5	False	False	True	True	False	False	False	False
DDB1	True	False	True	True	True	False	False	True
DDOST	False	False	True	True	False	False	False	False
DDX1	False	True	False	False	False	False	False	False
DDX10	False	False	True	True	False	False	False	False
DDX20	False	False	True	True	False	False	False	False
DDX21	False	True	False	False	False	False	False	False
DDX23	False	False	True	True	False	False	False	False
DDX24	True	False	False	False	False	False	False	False
DDX27	False	False	True	True	False	False	False	False
DDX41	False	True	True	True	False	True	True	False
DDX46	True	False	True	True	True	False	False	True
DDX47	True	False	True	True	True	False	False	True
DDX5	False	True	True	True	False	True	True	False
DDX51	False	False	True	True	False	False	False	False
DDX52	False	True	True	True	False	True	True	False
DDX54	False	False	True	True	False	False	False	False
DDX55	False	True	True	True	False	True	True	False
DDX59	False	True	True	True	False	True	True	False
DENR	False	False	True	True	False	False	False	False
DERL2	False	False	True	True	False	False	False	False
DHDDS	False	False	True	True	False	False	False	False
DHODH	True	False	False	False	False	False	False	False
DHX15	False	True	True	True	False	True	True	False
DHX16	False	False	True	True	False	False	False	False
DHX33	True	False	True	True	True	False	False	True
DHX36	False	True	True	True	False	True	True	False
DHX37	False	False	True	True	False	False	False	False
DICER1	True	False	True	True	True	False	False	True
DIMT1	False	False	True	True	False	False	False	False
DKC1	False	True	False	False	False	False	False	False
DLD	False	False	True	True	False	False	False	False
DMAP1	False	False	True	True	False	False	False	False
DNAJA3	False	False	True	True	False	False	False	False
DNAJC17	False	False	True	True	False	False	False	False
DNAJC8	False	False	True	True	False	False	False	False
DNMT1	False	False	True	True	False	False	False	False
DNTTIP2	True	False	False	False	False	False	False	False
DOHH	False	False	True	True	False	False	False	False
DOLK	False	True	False	False	False	False	False	False
DPH2	False	False	True	True	False	False	False	False
DR1	False	False	True	True	False	False	False	False
DRAP1	False	False	True	True	False	False	False	False
DSN1	False	True	True	True	False	True	True	False
DSTYK	False	True	False	False	False	False	False	False
DTL	False	True	True	True	False	True	True	False
DUT	False	False	True	True	False	False	False	False
DYNC1H1	True	True	True	True	True	True	True	True
DYNC1I2	False	True	True	True	False	True	True	False
DYNLL1	True	True	True	True	True	True	True	True
DYNLRB1	False	False	True	True	False	False	False	False
E4F1	False	False	True	True	False	False	False	False
EARS2	False	True	False	False	False	False	False	False
EBNA1BP2	False	False	True	True	False	False	False	False
ECD	False	False	True	True	False	False	False	False
EEF1G	True	False	True	True	True	False	False	True
EEF2	False	False	True	True	False	False	False	False
EFTUD2	False	True	True	True	False	True	True	False
EHMT2	False	True	False	False	False	False	False	False
EIF1	False	True	False	False	False	False	False	False
EIF1AX	False	False	True	True	False	False	False	False
EIF2B1	False	False	True	True	False	False	False	False
EIF2B2	False	False	True	True	False	False	False	False
EIF2B3	False	False	True	True	False	False	False	False
EIF2B4	False	False	True	True	False	False	False	False
EIF2B5	False	False	True	True	False	False	False	False
EIF2S1	False	False	True	True	False	False	False	False
EIF2S2	True	False	True	True	True	False	False	True
EIF2S3	False	False	True	True	False	False	False	False
EIF3A	False	False	True	True	False	False	False	False
EIF3CL	False	False	True	True	False	False	False	False
EIF3D	False	True	True	True	False	True	True	False
EIF3E	True	False	True	True	True	False	False	True
EIF3I	True	True	True	True	True	True	True	True
EIF3J	False	False	True	True	False	False	False	False
EIF3M	False	True	True	True	False	True	True	False
EIF4A3	False	True	False	False	False	False	False	False
EIF4E	False	False	True	True	False	False	False	False
EIF4G1	False	False	True	True	False	False	False	False
EIF4G2	False	False	True	True	False	False	False	False
EIF5A	False	False	True	True	False	False	False	False
EIF6	False	False	True	True	False	False	False	False
ELOF1	False	True	False	False	False	False	False	False
ELP3	False	False	True	True	False	False	False	False
ELP5	False	True	True	True	False	True	True	False
EMC3	False	True	False	False	False	False	False	False
EMC4	False	True	False	False	False	False	False	False
EP400	False	False	True	True	False	False	False	False
EPB41L2	False	True	False	False	False	False	False	False
EPRS	False	False	True	True	False	False	False	False
ERCC2	True	False	True	True	True	False	False	True
ESYT1	False	True	False	False	False	False	False	False
ETF1	False	False	True	True	False	False	False	False
ETV4	False	True	False	False	False	False	False	False
EXOC3	False	True	False	False	False	False	False	False
EXOC7	False	False	True	True	False	False	False	False
EXOSC2	False	False	True	True	False	False	False	False
EXOSC3	False	True	True	True	False	True	True	False
EXOSC4	False	False	True	True	False	False	False	False
EXOSC5	False	False	True	True	False	False	False	False
EXOSC7	False	False	True	True	False	False	False	False
EXOSC8	True	False	True	True	True	False	False	True
EXOSC9	True	True	False	False	False	False	False	False
FAF2	False	True	False	False	False	False	False	False
FAM136A	True	False	True	True	True	False	False	True
FAM32A	True	False	True	True	True	False	False	True
FAM50A	False	False	True	True	False	False	False	False
FARS2	False	True	False	False	False	False	False	False
FARSA	False	False	True	True	False	False	False	False
FASTKD5	True	False	False	False	False	False	False	False
FBXL14	False	True	False	False	False	False	False	False
FBXO5	True	False	False	False	False	False	False	False
FBXW7	False	True	False	False	False	False	False	False
FEN1	False	True	False	False	False	False	False	False
FNTA	False	False	True	True	False	False	False	False
FTSJ3	False	False	True	True	False	False	False	False
GARS	False	False	True	True	False	False	False	False
GATA1	True	False	False	False	False	False	False	False
GBF1	False	False	True	True	False	False	False	False
GEMIN5	False	False	True	True	False	False	False	False
GFER	False	True	True	True	False	True	True	False
GFM1	False	False	True	True	False	False	False	False
GINS1	False	False	True	True	False	False	False	False
GINS2	True	False	True	True	True	False	False	True
GINS3	True	False	False	False	False	False	False	False
GINS4	True	False	True	True	True	False	False	True
GLE1	False	False	True	True	False	False	False	False
GLRX3	False	True	False	False	False	False	False	False
GNL2	False	False	True	True	False	False	False	False
GNL3	False	False	True	True	False	False	False	False
GOLT1B	False	False	True	True	False	False	False	False
GPKOW	False	False	True	True	False	False	False	False
GPN2	False	False	True	True	False	False	False	False
GPN3	False	False	True	True	False	False	False	False
GPS1	True	False	True	True	True	False	False	True
GRB2	True	True	True	True	True	True	True	True
GRPEL1	False	False	True	True	False	False	False	False
GRSF1	False	False	True	True	False	False	False	False
GRWD1	False	True	False	False	False	False	False	False
GSK3B	False	True	False	False	False	False	False	False
GSPT1	False	False	True	True	False	False	False	False
GTF2A1	False	True	True	True	False	True	True	False
GTF2A2	False	False	True	True	False	False	False	False
GTF2E1	False	False	True	True	False	False	False	False
GTF2E2	False	False	True	True	False	False	False	False
GTF2F2	False	False	True	True	False	False	False	False
GTF2H2	False	True	False	False	False	False	False	False
GTF2H4	False	True	True	True	False	True	True	False
GTF3A	False	True	False	False	False	False	False	False
GTF3C1	False	True	False	False	False	False	False	False
GTF3C3	True	False	True	True	True	False	False	True
GTF3C4	False	True	False	False	False	False	False	False
GTPBP4	False	False	True	True	False	False	False	False
GUCD1	False	False	True	True	False	False	False	False
HARS	True	True	True	True	True	True	True	True
HAUS4	False	False	True	True	False	False	False	False
HAUS5	False	False	True	True	False	False	False	False
HAUS7	False	True	False	False	False	False	False	False
HBS1L	False	False	True	True	False	False	False	False
HDAC7	False	False	True	True	False	False	False	False
HGS	False	False	True	True	False	False	False	False
HIRA	False	False	True	True	False	False	False	False
HMGA1	False	True	False	False	False	False	False	False
HMGCS1	False	False	True	True	False	False	False	False
HNRNPC	True	False	True	True	True	False	False	True
HNRNPH1	False	False	True	True	False	False	False	False
HNRNPL	False	False	True	True	False	False	False	False
HNRNPU	False	False	True	True	False	False	False	False
HSCB	True	False	True	True	True	False	False	True
HSF1	True	False	False	False	False	False	False	False
HSPA5	False	False	True	True	False	False	False	False
HSPA9	False	False	True	True	False	False	False	False
HSPH1	False	True	False	False	False	False	False	False
HTATSF1	False	True	False	False	False	False	False	False
HUWE1	True	False	True	True	True	False	False	True
HYPK	True	False	False	False	False	False	False	False
IARS	False	False	True	True	False	False	False	False
IARS2	False	False	True	True	False	False	False	False
ICE1	True	False	True	True	True	False	False	True
IGBP1	False	False	True	True	False	False	False	False
IK	False	True	True	True	False	True	True	False
ILF2	False	False	True	True	False	False	False	False
ILF3	False	True	False	False	False	False	False	False
IMPA2	False	True	False	False	False	False	False	False
ING3	False	True	False	False	False	False	False	False
INO80	False	False	True	True	False	False	False	False
INO80B	False	False	True	True	False	False	False	False
INTS1	False	False	True	True	False	False	False	False
INTS2	False	True	True	True	False	True	True	False
INTS3	False	False	True	True	False	False	False	False
INTS4	False	False	True	True	False	False	False	False
INTS5	True	False	True	True	True	False	False	True
INTS8	False	True	True	True	False	True	True	False
IPO13	False	False	True	True	False	False	False	False
IPO9	False	False	True	True	False	False	False	False
ISG20L2	True	False	False	False	False	False	False	False
JAZF1	True	False	True	True	True	False	False	True
KANSL3	False	False	True	True	False	False	False	False
KAT8	False	False	True	True	False	False	False	False
KCTD10	False	False	True	True	False	False	False	False
KIF18A	False	True	False	False	False	False	False	False
KIF20A	True	False	False	False	False	False	False	False
KIN	False	False	True	True	False	False	False	False
KLHL17	False	True	False	False	False	False	False	False
KPNB1	True	False	True	True	True	False	False	True
KRI1	False	True	True	True	False	True	True	False
KRR1	True	False	False	False	False	False	False	False
LAMTOR2	True	False	False	False	False	False	False	False
LAMTOR4	False	False	True	True	False	False	False	False
LARS	False	True	True	True	False	True	True	False
LAS1L	True	False	True	True	True	False	False	True
LETM1	False	False	True	True	False	False	False	False
LONP1	False	False	True	True	False	False	False	False
LRPPRC	False	False	True	True	False	False	False	False
LSG1	False	False	True	True	False	False	False	False
LSM10	False	True	True	True	False	True	True	False
LSM3	False	True	True	True	False	True	True	False
LSM4	False	False	True	True	False	False	False	False
LSM5	False	False	True	True	False	False	False	False
LSM6	False	True	True	True	False	True	True	False
LSM7	False	False	True	True	False	False	False	False
LTBP4	False	True	False	False	False	False	False	False
LTV1	True	False	False	False	False	False	False	False
MAD2L1	False	True	True	True	False	True	True	False
MAD2L2	False	True	False	False	False	False	False	False
MAGOH	True	False	True	True	True	False	False	True
MARS	False	False	True	True	False	False	False	False
MAT2A	False	True	True	True	False	True	True	False
MAX	False	False	True	True	False	False	False	False
MCM10	False	True	True	True	False	True	True	False
MCM2	False	False	True	True	False	False	False	False
MCM3	False	True	True	True	False	True	True	False
MCM3AP	False	True	True	True	False	True	True	False
MCM4	False	False	True	True	False	False	False	False
MCM6	True	False	True	True	True	False	False	True
MCM7	False	True	False	False	False	False	False	False
MCMBP	True	False	True	True	True	False	False	True
MDN1	True	False	False	False	False	False	False	False
MED1	False	True	True	True	False	True	True	False
MED10	True	False	False	False	False	False	False	False
MED11	False	False	True	True	False	False	False	False
MED12	True	False	True	True	True	False	False	True
MED14	False	False	True	True	False	False	False	False
MED19	False	True	True	True	False	True	True	False
MED20	False	True	False	False	False	False	False	False
MED22	False	True	False	False	False	False	False	False
MED4	False	False	True	True	False	False	False	False
MED7	False	True	False	False	False	False	False	False
MED8	False	False	True	True	False	False	False	False
MEN1	False	True	False	False	False	False	False	False
METTL14	False	False	True	True	False	False	False	False
METTL16	False	False	True	True	False	False	False	False
METTL3	False	False	True	True	False	False	False	False
MEX3A	False	True	True	True	False	True	True	False
MFAP1	False	False	True	True	False	False	False	False
MIOS	True	True	True	True	True	True	True	True
MMS22L	False	False	True	True	False	False	False	False
MNAT1	False	False	True	True	False	False	False	False
MOB4	False	False	True	True	False	False	False	False
MPHOSPH10	False	True	False	False	False	False	False	False
MPHOSPH6	False	True	False	False	False	False	False	False
MRGBP	False	False	True	True	False	False	False	False
MRPL19	False	False	True	True	False	False	False	False
MRPL32	False	False	True	True	False	False	False	False
MRPL35	False	False	True	True	False	False	False	False
MRPL36	False	False	True	True	False	False	False	False
MRPL38	False	False	True	True	False	False	False	False
MRPL4	True	False	False	False	False	False	False	False
MRPL41	True	False	False	False	False	False	False	False
MRPL43	True	False	False	False	False	False	False	False
MRPL49	True	True	True	True	True	True	True	True
MRPS14	False	True	True	True	False	True	True	False
MRPS22	True	False	False	False	False	False	False	False
MRPS26	True	False	False	False	False	False	False	False
MRPS33	False	True	False	False	False	False	False	False
MRPS34	True	False	True	True	True	False	False	True
MTBP	False	False	True	True	False	False	False	False
MTOR	False	False	True	True	False	False	False	False
MTPAP	False	False	True	True	False	False	False	False
MVD	False	True	True	True	False	True	True	False
MYBBP1A	False	False	True	True	False	False	False	False
MYBL2	False	True	True	True	False	True	True	False
MYC	False	True	False	False	False	False	False	False
MYSM1	False	True	False	False	False	False	False	False
N6AMT1	True	False	False	False	False	False	False	False
NAA10	False	False	True	True	False	False	False	False
NAA15	True	False	True	True	True	False	False	True
NAA20	True	True	True	True	True	True	True	True
NAA25	False	False	True	True	False	False	False	False
NAA35	False	True	False	False	False	False	False	False
NAA50	False	True	False	False	False	False	False	False
NAE1	False	False	True	True	False	False	False	False
NAF1	False	True	False	False	False	False	False	False
NAPG	False	True	False	False	False	False	False	False
NARS	False	False	True	True	False	False	False	False
NAT10	True	False	False	False	False	False	False	False
NBAS	False	True	True	True	False	True	True	False
NCAPH	False	True	True	True	False	True	True	False
NCBP1	True	False	False	False	False	False	False	False
NCBP2	False	False	True	True	False	False	False	False
NCKAP1	False	False	True	True	False	False	False	False
NDC80	True	False	True	True	True	False	False	True
NDUFA8	True	False	False	False	False	False	False	False
NDUFAB1	False	True	True	True	False	True	True	False
NDUFB10	True	False	True	True	True	False	False	True
NEDD1	False	False	True	True	False	False	False	False
NEDD8	True	False	True	True	True	False	False	True
NELFA	False	True	True	True	False	True	True	False
NELFB	True	True	True	True	True	True	True	True
NELFCD	True	False	True	True	True	False	False	True
NELFE	False	False	True	True	False	False	False	False
NFRKB	False	True	True	True	False	True	True	False
NFS1	False	False	True	True	False	False	False	False
NIFK	True	False	True	True	True	False	False	True
NKAP	False	False	True	True	False	False	False	False
NLE1	True	False	True	True	True	False	False	True
NMD3	True	False	True	True	True	False	False	True
NOB1	False	True	False	False	False	False	False	False
NOC3L	False	False	True	True	False	False	False	False
NOL6	True	False	False	False	False	False	False	False
NOL8	False	False	True	True	False	False	False	False
NOLC1	False	True	True	True	False	True	True	False
NOM1	False	True	True	True	False	True	True	False
NOMO3	False	True	False	False	False	False	False	False
NOP10	True	False	False	False	False	False	False	False
NOP14	False	False	True	True	False	False	False	False
NOP58	True	False	False	False	False	False	False	False
NPLOC4	False	False	True	True	False	False	False	False
NRBP1	False	False	True	True	False	False	False	False
NRDE2	False	False	True	True	False	False	False	False
NRF1	False	False	True	True	False	False	False	False
NSA2	True	False	False	False	False	False	False	False
NSRP1	False	False	True	True	False	False	False	False
NUBP1	False	False	True	True	False	False	False	False
NUBP2	False	True	False	False	False	False	False	False
NUDC	False	False	True	True	False	False	False	False
NUDCD3	False	False	True	True	False	False	False	False
NUDT15	False	True	False	False	False	False	False	False
NUF2	False	False	True	True	False	False	False	False
NUFIP1	True	False	False	False	False	False	False	False
NUP107	True	False	True	True	True	False	False	True
NUP133	False	False	True	True	False	False	False	False
NUP153	False	True	False	False	False	False	False	False
NUP160	False	False	True	True	False	False	False	False
NUP54	False	False	True	True	False	False	False	False
NUP62	False	False	True	True	False	False	False	False
NUP85	False	True	True	True	False	True	True	False
NUP88	False	False	True	True	False	False	False	False
NUP98	True	False	True	True	True	False	False	True
NUTF2	False	False	True	True	False	False	False	False
NVL	False	False	True	True	False	False	False	False
OGFOD1	False	False	True	True	False	False	False	False
OGT	True	False	True	True	True	False	False	True
OLFML3	False	True	False	False	False	False	False	False
OPA1	False	False	True	True	False	False	False	False
ORC1	False	False	True	True	False	False	False	False
ORC5	False	False	True	True	False	False	False	False
PABPN1	False	False	True	True	False	False	False	False
PAF1	False	False	True	True	False	False	False	False
PAM16	False	True	True	True	False	True	True	False
PAXBP1	False	True	True	True	False	True	True	False
PCBP1	False	True	True	True	False	True	True	False
PCF11	False	False	True	True	False	False	False	False
PCID2	False	False	True	True	False	False	False	False
PCM1	False	True	False	False	False	False	False	False
PCNA	False	True	True	True	False	True	True	False
PDAP1	False	True	True	True	False	True	True	False
PDCD11	False	False	True	True	False	False	False	False
PDCD2	True	False	False	False	False	False	False	False
PDCD7	False	True	True	True	False	True	True	False
PELP1	False	False	True	True	False	False	False	False
PES1	True	False	True	True	True	False	False	True
PET117	True	True	True	True	True	True	True	True
PFDN2	False	False	True	True	False	False	False	False
PFN1	False	False	True	True	False	False	False	False
PGAM1	False	False	True	True	False	False	False	False
PGPEP1	True	False	False	False	False	False	False	False
PHAX	False	False	True	True	False	False	False	False
PHB	False	False	True	True	False	False	False	False
PHB2	True	False	True	True	True	False	False	True
PHF5A	False	False	True	True	False	False	False	False
PIAS4	False	False	True	True	False	False	False	False
PIGH	False	True	False	False	False	False	False	False
PIK3R4	False	True	False	False	False	False	False	False
PKM	False	False	True	True	False	False	False	False
PLK1	False	True	False	False	False	False	False	False
PLRG1	False	False	True	True	False	False	False	False
PMF1	True	False	True	True	True	False	False	True
PMPCA	True	True	True	True	True	True	True	True
PMPCB	False	False	True	True	False	False	False	False
PNISR	False	False	True	True	False	False	False	False
PNN	False	False	True	True	False	False	False	False
PNPT1	False	False	True	True	False	False	False	False
POLA1	False	False	True	True	False	False	False	False
POLA2	False	False	True	True	False	False	False	False
POLD1	True	False	True	True	True	False	False	True
POLD2	False	False	True	True	False	False	False	False
POLD3	True	False	True	True	True	False	False	True
POLE	False	False	True	True	False	False	False	False
POLL	False	True	False	False	False	False	False	False
POLR1C	False	False	True	True	False	False	False	False
POLR1E	False	True	True	True	False	True	True	False
POLR2B	False	False	True	True	False	False	False	False
POLR2E	False	False	True	True	False	False	False	False
POLR2F	False	True	True	True	False	True	True	False
POLR2I	True	True	True	True	True	True	True	True
POLR3B	False	False	True	True	False	False	False	False
POLR3C	False	True	True	True	False	True	True	False
POLR3D	False	False	True	True	False	False	False	False
POLR3E	False	False	True	True	False	False	False	False
POLR3F	False	False	True	True	False	False	False	False
POLR3H	False	True	False	False	False	False	False	False
POLRMT	True	False	True	True	True	False	False	True
POP1	True	False	True	True	True	False	False	True
POP4	False	False	True	True	False	False	False	False
POP5	False	False	True	True	False	False	False	False
POP7	False	False	True	True	False	False	False	False
PPARGC1B	True	False	True	True	True	False	False	True
PPIH	False	True	True	True	False	True	True	False
PPIL4	False	False	True	True	False	False	False	False
PPP1CA	True	False	True	True	True	False	False	True
PPP1R11	False	True	True	True	False	True	True	False
PPP1R2	False	True	False	False	False	False	False	False
PPP1R7	False	True	False	False	False	False	False	False
PPP1R8	False	False	True	True	False	False	False	False
PPP2R1A	False	False	True	True	False	False	False	False
PPP4C	True	False	True	True	True	False	False	True
PPP4R2	False	False	True	True	False	False	False	False
PPRC1	False	False	True	True	False	False	False	False
PRC1	False	True	False	False	False	False	False	False
PRELID1	False	True	True	True	False	True	True	False
PRELID3B	False	True	True	True	False	True	True	False
PRIM1	True	False	True	True	True	False	False	True
PRIM2	True	False	True	True	True	False	False	True
PRMT1	False	False	True	True	False	False	False	False
PRMT5	False	True	True	True	False	True	True	False
PRPF18	False	False	True	True	False	False	False	False
PRPF19	True	True	True	True	True	True	True	True
PRPF3	True	True	True	True	True	True	True	True
PRPF31	True	True	False	False	False	False	False	False
PRPF38A	False	True	False	False	False	False	False	False
PRPF4	True	False	True	True	True	False	False	True
PRPF40A	False	False	True	True	False	False	False	False
PRPF6	False	False	True	True	False	False	False	False
PRPF8	True	False	True	True	True	False	False	True
PRRC2A	False	True	True	True	False	True	True	False
PSMA3	False	False	True	True	False	False	False	False
PSMA4	False	False	True	True	False	False	False	False
PSMB1	False	True	False	False	False	False	False	False
PSMB2	True	False	True	True	True	False	False	True
PSMB5	True	False	True	True	True	False	False	True
PSMB6	True	False	True	True	True	False	False	True
PSMB7	True	False	False	False	False	False	False	False
PSMC1	False	False	True	True	False	False	False	False
PSMC2	False	False	True	True	False	False	False	False
PSMC5	False	True	False	False	False	False	False	False
PSMD13	False	False	True	True	False	False	False	False
PSMD2	True	False	False	False	False	False	False	False
PSMD8	False	True	False	False	False	False	False	False
PSME1	False	True	False	False	False	False	False	False
PSMG3	True	False	True	True	True	False	False	True
PSMG4	True	False	False	False	False	False	False	False
PTBP1	True	False	True	True	True	False	False	True
PTCD1	False	False	True	True	False	False	False	False
PTK2	False	True	False	False	False	False	False	False
PUF60	False	True	True	True	False	True	True	False
PWP2	True	False	False	False	False	False	False	False
QARS	False	False	True	True	False	False	False	False
RAB4B	False	True	False	False	False	False	False	False
RAB6A	False	True	False	False	False	False	False	False
RABGGTA	False	False	True	True	False	False	False	False
RAC3	False	True	False	False	False	False	False	False
RACGAP1	True	False	False	False	False	False	False	False
RAD21	True	False	True	True	True	False	False	True
RAN	False	False	True	True	False	False	False	False
RANGAP1	False	False	True	True	False	False	False	False
RARS	False	False	True	True	False	False	False	False
RARS2	False	False	True	True	False	False	False	False
RBBP4	False	False	True	True	False	False	False	False
RBBP5	False	True	False	False	False	False	False	False
RBM12	False	True	False	False	False	False	False	False
RBM15	False	True	False	False	False	False	False	False
RBM17	False	False	True	True	False	False	False	False
RBM25	False	True	True	True	False	True	True	False
RBM39	False	False	True	True	False	False	False	False
RBM4	False	True	True	True	False	True	True	False
RBM42	True	True	True	True	True	True	True	True
RBM48	False	False	True	True	False	False	False	False
RBMX2	False	False	True	True	False	False	False	False
RBX1	False	True	True	True	False	True	True	False
RCC1	True	False	True	True	True	False	False	True
RCL1	False	True	True	True	False	True	True	False
RFC1	False	False	True	True	False	False	False	False
RFC2	False	False	True	True	False	False	False	False
RFC3	False	False	True	True	False	False	False	False
RFC4	True	False	True	True	True	False	False	True
RFC5	False	False	True	True	False	False	False	False
RINT1	False	True	True	True	False	True	True	False
RIOK1	True	False	True	True	True	False	False	True
RNASEH2C	False	True	True	True	False	True	True	False
RNF103	False	True	False	False	False	False	False	False
RNF113A	False	False	True	True	False	False	False	False
RNF20	False	False	True	True	False	False	False	False
RNF40	True	False	True	True	True	False	False	True
RNGTT	False	True	True	True	False	True	True	False
RNMT	False	False	True	True	False	False	False	False
