original_label	normalized_label	target_1	target_2	is_control
DDOST+ctrl	DDOST	DDOST	NA	False
DDX1+ctrl	DDX1	DDX1	NA	False
DDX10+ctrl	DDX10	DDX10	NA	False
DDX17+ctrl	DDX17	DDX17	NA	False
DDX18+ctrl	DDX18	DDX18	NA	False
DDX19A+ctrl	DDX19A	DDX19A	NA	False
DDX20+ctrl	DDX20	DDX20	NA	False
DDX21+ctrl	DDX21	DDX21	NA	False
DDX23+ctrl	DDX23	DDX23	NA	False
DDX24+ctrl	DDX24	DDX24	NA	False
DDX27+ctrl	DDX27	DDX27	NA	False
DDX41+ctrl	DDX41	DDX41	NA	False
DDX46+ctrl	DDX46	DDX46	NA	False
DDX47+ctrl	DDX47	DDX47	NA	False
DDX49+ctrl	DDX49	DDX49	NA	False
DDX5+ctrl	DDX5	DDX5	NA	False
DDX51+ctrl	DDX51	DDX51	NA	False
DDX52+ctrl	DDX52	DDX52	NA	False
DDX54+ctrl	DDX54	DDX54	NA	False
DDX55+ctrl	DDX55	DDX55	NA	False
DDX56+ctrl	DDX56	DDX56	NA	False
DDX59+ctrl	DDX59	DDX59	NA	False
DDX6+ctrl	DDX6	DDX6	NA	False
DENR+ctrl	DENR	DENR	NA	False
DERL2+ctrl	DERL2	DERL2	NA	False
DESI1+ctrl	DESI1	DESI1	NA	False
DGCR8+ctrl	DGCR8	DGCR8	NA	False
DHDDS+ctrl	DHDDS	DHDDS	NA	False
DHODH+ctrl	DHODH	DHODH	NA	False
DHPS+ctrl	DHPS	DHPS	NA	False
DHX15+ctrl	DHX15	DHX15	NA	False
DHX16+ctrl	DHX16	DHX16	NA	False
DHX30+ctrl	DHX30	DHX30	NA	False
DHX33+ctrl	DHX33	DHX33	NA	False
DHX36+ctrl	DHX36	DHX36	NA	False
DHX37+ctrl	DHX37	DHX37	NA	False
DHX8+ctrl	DHX8	DHX8	NA	False
DHX9+ctrl	DHX9	DHX9	NA	False
DICER1+ctrl	DICER1	DICER1	NA	False
DIMT1+ctrl	DIMT1	DIMT1	NA	False
DIS3+ctrl	DIS3	DIS3	NA	False
DKC1+ctrl	DKC1	DKC1	NA	False
DLD+ctrl	DLD	DLD	NA	False
DMAP1+ctrl	DMAP1	DMAP1	NA	False
DNAJA3+ctrl	DNAJA3	DNAJA3	NA	False
DNAJC17+ctrl	DNAJC17	DNAJC17	NA	False
DNAJC19+ctrl	DNAJC19	DNAJC19	NA	False
DNAJC8+ctrl	DNAJC8	DNAJC8	NA	False
DNM1L+ctrl	DNM1L	DNM1L	NA	False
DNM2+ctrl	DNM2	DNM2	NA	False
DNMT1+ctrl	DNMT1	DNMT1	NA	False
DNTTIP2+ctrl	DNTTIP2	DNTTIP2	NA	False
DOHH+ctrl	DOHH	DOHH	NA	False
DOLK+ctrl	DOLK	DOLK	NA	False
DONSON+ctrl	DONSON	DONSON	NA	False
DPAGT1+ctrl	DPAGT1	DPAGT1	NA	False
DPH1+ctrl	DPH1	DPH1	NA	False
DPH2+ctrl	DPH2	DPH2	NA	False
DPH3+ctrl	DPH3	DPH3	NA	False
DPY19L4+ctrl	DPY19L4	DPY19L4	NA	False
DR1+ctrl	DR1	DR1	NA	False
DRAP1+ctrl	DRAP1	DRAP1	NA	False
DSN1+ctrl	DSN1	DSN1	NA	False
DSTYK+ctrl	DSTYK	DSTYK	NA	False
DTL+ctrl	DTL	DTL	NA	False
DTYMK+ctrl	DTYMK	DTYMK	NA	False
DUT+ctrl	DUT	DUT	NA	False
DYNC1H1+ctrl	DYNC1H1	DYNC1H1	NA	False
DYNC1I2+ctrl	DYNC1I2	DYNC1I2	NA	False
DYNLL1+ctrl	DYNLL1	DYNLL1	NA	False
DYNLL2+ctrl	DYNLL2	DYNLL2	NA	False
DYNLRB1+ctrl	DYNLRB1	DYNLRB1	NA	False
E4F1+ctrl	E4F1	E4F1	NA	False
EARS2+ctrl	EARS2	EARS2	NA	False
EBNA1BP2+ctrl	EBNA1BP2	EBNA1BP2	NA	False
ECD+ctrl	ECD	ECD	NA	False
EDC4+ctrl	EDC4	EDC4	NA	False
EEF1G+ctrl	EEF1G	EEF1G	NA	False
EEF2+ctrl	EEF2	EEF2	NA	False
EEFSEC+ctrl	EEFSEC	EEFSEC	NA	False
EFR3A+ctrl	EFR3A	EFR3A	NA	False
EFTUD2+ctrl	EFTUD2	EFTUD2	NA	False
EHMT2+ctrl	EHMT2	EHMT2	NA	False
EIF1+ctrl	EIF1	EIF1	NA	False
EIF1AX+ctrl	EIF1AX	EIF1AX	NA	False
EIF2B1+ctrl	EIF2B1	EIF2B1	NA	False
EIF2B2+ctrl	EIF2B2	EIF2B2	NA	False
EIF2B3+ctrl	EIF2B3	EIF2B3	NA	False
EIF2B4+ctrl	EIF2B4	EIF2B4	NA	False
EIF2B5+ctrl	EIF2B5	EIF2B5	NA	False
EIF2S1+ctrl	EIF2S1	EIF2S1	NA	False
EIF2S2+ctrl	EIF2S2	EIF2S2	NA	False
EIF2S3+ctrl	EIF2S3	EIF2S3	NA	False
EIF3A+ctrl	EIF3A	EIF3A	NA	False
EIF3B+ctrl	EIF3B	EIF3B	NA	False
EIF3CL+ctrl	EIF3CL	EIF3CL	NA	False
EIF3D+ctrl	EIF3D	EIF3D	NA	False
EIF3E+ctrl	EIF3E	EIF3E	NA	False
EIF3F+ctrl	EIF3F	EIF3F	NA	False
EIF3G+ctrl	EIF3G	EIF3G	NA	False
EIF3H+ctrl	EIF3H	EIF3H	NA	False
EIF3I+ctrl	EIF3I	EIF3I	NA	False
EIF3J+ctrl	EIF3J	EIF3J	NA	False
EIF3L+ctrl	EIF3L	EIF3L	NA	False
EIF3M+ctrl	EIF3M	EIF3M	NA	False
EIF4A1+ctrl	EIF4A1	EIF4A1	NA	False
EIF4A3+ctrl	EIF4A3	EIF4A3	NA	False
EIF4B+ctrl	EIF4B	EIF4B	NA	False
EIF4E+ctrl	EIF4E	EIF4E	NA	False
EIF4G1+ctrl	EIF4G1	EIF4G1	NA	False
EIF4G2+ctrl	EIF4G2	EIF4G2	NA	False
EIF4H+ctrl	EIF4H	EIF4H	NA	False
EIF5+ctrl	EIF5	EIF5	NA	False
EIF5A+ctrl	EIF5A	EIF5A	NA	False
EIF6+ctrl	EIF6	EIF6	NA	False
ELAC2+ctrl	ELAC2	ELAC2	NA	False
ELL+ctrl	ELL	ELL	NA	False
ELOB+ctrl	ELOB	ELOB	NA	False
ELOF1+ctrl	ELOF1	ELOF1	NA	False
ELP2+ctrl	ELP2	ELP2	NA	False
ELP3+ctrl	ELP3	ELP3	NA	False
ELP4+ctrl	ELP4	ELP4	NA	False
ELP5+ctrl	ELP5	ELP5	NA	False
ELP6+ctrl	ELP6	ELP6	NA	False
EMC3+ctrl	EMC3	EMC3	NA	False
EMC4+ctrl	EMC4	EMC4	NA	False
EMC7+ctrl	EMC7	EMC7	NA	False
ENY2+ctrl	ENY2	ENY2	NA	False
EP400+ctrl	EP400	EP400	NA	False
EPB41L2+ctrl	EPB41L2	EPB41L2	NA	False
EPRS+ctrl	EPRS	EPRS	NA	False
ERCC2+ctrl	ERCC2	ERCC2	NA	False
ERCC3+ctrl	ERCC3	ERCC3	NA	False
ERH+ctrl	ERH	ERH	NA	False
ESF1+ctrl	ESF1	ESF1	NA	False
ESPL1+ctrl	ESPL1	ESPL1	NA	False
ESYT1+ctrl	ESYT1	ESYT1	NA	False
ESYT2+ctrl	ESYT2	ESYT2	NA	False
ETF1+ctrl	ETF1	ETF1	NA	False
ETV4+ctrl	ETV4	ETV4	NA	False
EWSR1+ctrl	EWSR1	EWSR1	NA	False
EXOC1+ctrl	EXOC1	EXOC1	NA	False
EXOC2+ctrl	EXOC2	EXOC2	NA	False
EXOC3+ctrl	EXOC3	EXOC3	NA	False
EXOC4+ctrl	EXOC4	EXOC4	NA	False
EXOC5+ctrl	EXOC5	EXOC5	NA	False
EXOC7+ctrl	EXOC7	EXOC7	NA	False
EXOSC1+ctrl	EXOSC1	EXOSC1	NA	False
EXOSC10+ctrl	EXOSC10	EXOSC10	NA	False
EXOSC2+ctrl	EXOSC2	EXOSC2	NA	False
EXOSC3+ctrl	EXOSC3	EXOSC3	NA	False
EXOSC4+ctrl	EXOSC4	EXOSC4	NA	False
EXOSC5+ctrl	EXOSC5	EXOSC5	NA	False
EXOSC6+ctrl	EXOSC6	EXOSC6	NA	False
EXOSC7+ctrl	EXOSC7	EXOSC7	NA	False
EXOSC8+ctrl	EXOSC8	EXOSC8	NA	False
EXOSC9+ctrl	EXOSC9	EXOSC9	NA	False
FAF2+ctrl	FAF2	FAF2	NA	False
FAM102B+ctrl	FAM102B	FAM102B	NA	False
FAM136A+ctrl	FAM136A	FAM136A	NA	False
FAM32A+ctrl	FAM32A	FAM32A	NA	False
FAM50A+ctrl	FAM50A	FAM50A	NA	False
FARS2+ctrl	FARS2	FARS2	NA	False
FARSA+ctrl	FARSA	FARSA	NA	False
FARSB+ctrl	FARSB	FARSB	NA	False
FASN+ctrl	FASN	FASN	NA	False
FASTKD5+ctrl	FASTKD5	FASTKD5	NA	False
FAU+ctrl	FAU	FAU	NA	False
FBL+ctrl	FBL	FBL	NA	False
FBRSL1+ctrl	FBRSL1	FBRSL1	NA	False
FBXL14+ctrl	FBXL14	FBXL14	NA	False
FBXO42+ctrl	FBXO42	FBXO42	NA	False
FBXO5+ctrl	FBXO5	FBXO5	NA	False
FBXW7+ctrl	FBXW7	FBXW7	NA	False
FCF1+ctrl	FCF1	FCF1	NA	False
FEN1+ctrl	FEN1	FEN1	NA	False
FKBP9+ctrl	FKBP9	FKBP9	NA	False
FNBP4+ctrl	FNBP4	FNBP4	NA	False
FNTA+ctrl	FNTA	FNTA	NA	False
FOLR3+ctrl	FOLR3	FOLR3	NA	False
FOXO1+ctrl	FOXO1	FOXO1	NA	False
FOXS1+ctrl	FOXS1	FOXS1	NA	False
FTSJ3+ctrl	FTSJ3	FTSJ3	NA	False
FUNDC2+ctrl	FUNDC2	FUNDC2	NA	False
FXN+ctrl	FXN	FXN	NA	False
FYN+ctrl	FYN	FYN	NA	False
GAB2+ctrl	GAB2	GAB2	NA	False
GABPA+ctrl	GABPA	GABPA	NA	False
GABPB1+ctrl	GABPB1	GABPB1	NA	False
GAPDH+ctrl	GAPDH	GAPDH	NA	False
GAR1+ctrl	GAR1	GAR1	NA	False
GARS+ctrl	GARS	GARS	NA	False
GART+ctrl	GART	GART	NA	False
GATA1+ctrl	GATA1	GATA1	NA	False
GBF1+ctrl	GBF1	GBF1	NA	False
GEMIN4+ctrl	GEMIN4	GEMIN4	NA	False
GEMIN5+ctrl	GEMIN5	GEMIN5	NA	False
GEMIN6+ctrl	GEMIN6	GEMIN6	NA	False
GEMIN8+ctrl	GEMIN8	GEMIN8	NA	False
GET3+ctrl	GET3	GET3	NA	False
GFER+ctrl	GFER	GFER	NA	False
GFM1+ctrl	GFM1	GFM1	NA	False
GFOD2+ctrl	GFOD2	GFOD2	NA	False
GGPS1+ctrl	GGPS1	GGPS1	NA	False
GINS1+ctrl	GINS1	GINS1	NA	False
GINS2+ctrl	GINS2	GINS2	NA	False
GINS3+ctrl	GINS3	GINS3	NA	False
GINS4+ctrl	GINS4	GINS4	NA	False
GIT2+ctrl	GIT2	GIT2	NA	False
GLE1+ctrl	GLE1	GLE1	NA	False
GLRX3+ctrl	GLRX3	GLRX3	NA	False
GMIP+ctrl	GMIP	GMIP	NA	False
GMPS+ctrl	GMPS	GMPS	NA	False
GNB1L+ctrl	GNB1L	GNB1L	NA	False
GNL2+ctrl	GNL2	GNL2	NA	False
GNL3+ctrl	GNL3	GNL3	NA	False
GNL3L+ctrl	GNL3L	GNL3L	NA	False
GOLT1B+ctrl	GOLT1B	GOLT1B	NA	False
GON4L+ctrl	GON4L	GON4L	NA	False
GPKOW+ctrl	GPKOW	GPKOW	NA	False
